,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
26,Bhatli,5,IRASIS ACHARYA,Bharatiya Janata Party,SUSANTA SINGH,Biju Janata Dal,27892,22/22,Result Declared
27,Bhawanipatna,80,SAGAR CHARAN DAS,Indian National Congress,PRADIPTA KUMAR NAIK,Bharatiya Janata Party,13741,21/21,Result Declared
28,Bhograi,36,GOUTAM BUDDHA DAS,Biju Janata Dal,SATYA SHIBA DAS,Indian National Congress,6564,26/26,Result Declared
29,Bhubaneswar Central,112,ANANTA NARAYAN JENA,Biju Janata Dal,JAGANNATH PRADHAN,Bharatiya Janata Party,37,17/17,Result Declared
30,Bhubaneswar North,113,SUSANT KUMAR ROUT,Biju Janata Dal,PRIYADARSHI MISHRA,Bharatiya Janata Party,11343,22/22,Result Declared
31,Bijepur,2,SANAT KUMAR GARTIA,Bharatiya Janata Party,RITA SAHU,Biju Janata Dal,10066,22/22,Result Declared
32,Binjharpur,48,PRAMILA MALLIK,Biju Janata Dal,BABITA MALLICK,Bharatiya Janata Party,2856,20/20,Result Declared
33,Biramitrapur,10,ROHIT JOSEPH TIRKEY,Biju Janata Dal,SHANKAR ORAM,Bharatiya Janata Party,6884,22/22,Result Declared
34,Birmaharajpur,64,RAGHUNATH JAGADALA,Bharatiya Janata Party,PADMANABHA BEHERA,Biju Janata Dal,21946,23/23,Result Declared
35,Bissam Cuttack,139,NILAMADHAB HIKAKA,Indian National Congress,JAGANNATH SARAKA,Biju Janata Dal,9403,30/30,Result Declared
36,Bolangir,68,KALIKESH NARAYAN SINGH DEO,Biju Janata Dal,SAMARENDRA MISHRA,Indian National Congress,13409,20/20,Result Declared
37,Bonai,14,LAXMAN MUNDA,Communist Party of India  (Marxist),BHIMSEN CHOUDHURY,Biju Janata Dal,23439,23/23,Result Declared
38,Boudh,86,SAROJ KUMAR PRADHAN,Bharatiya Janata Party,PRADIP KUMAR AMAT,Biju Janata Dal,2765,17/17,Result Declared
39,Brahmagiri,108,UPASNA MOHAPATRA,Bharatiya Janata Party,UMAKANTA SAMANTARAY,Biju Janata Dal,9830,28/28,Result Declared
40,Brajarajnagar,6,SURESH PUJARI,Bharatiya Janata Party,ALAKA MOHANTY,Biju Janata Dal,26789,19/19,Result Declared
41,Champua,25,SANATAN MAHAKUD,Biju Janata Dal,MURALI MANOHAR SHARMA,Bharatiya Janata Party,39994,19/19,Result Declared
42,Chandabali,47,BYOMAKESH RAY,Biju Janata Dal,MANMOHAN SAMAL,Bharatiya Janata Party,1916,20/20,Result Declared
